Algorithm,Seed,Noise Level,Wind Power,Mean Reward
DQN,42,None,0.0,-92.53724905899716
DQN,42,Low,5.0,-148.1854243897887
DQN,42,Medium,10.0,-171.6390910991664
DQN,42,High,15.0,-157.4319950656547
DQN,42,Extreme,20.0,-188.52681201404053
SARSA,42,None,0.0,-13.026161011488464
SARSA,42,Low,5.0,3.3233257322308276
SARSA,42,Medium,10.0,-127.73876379547933
SARSA,42,High,15.0,-154.5073875910304
SARSA,42,Extreme,20.0,-154.2608125622459
PPO,42,None,0.0,222.19258811822343
PPO,42,Low,5.0,204.6998774209613
PPO,42,Medium,10.0,154.49298746941244
PPO,42,High,15.0,123.63214678296234
PPO,42,Extreme,20.0,125.98606384934124
DQN,1,None,0.0,-151.84007258264796
DQN,1,Low,5.0,-129.9318654280563
DQN,1,Medium,10.0,-130.66820945309695
DQN,1,High,15.0,-179.05227610866746
DQN,1,Extreme,20.0,-233.71427969364436
SARSA,1,None,0.0,-88.58221320982986
SARSA,1,Low,5.0,-72.72824041267418
SARSA,1,Medium,10.0,-48.92179772016719
SARSA,1,High,15.0,-85.56610665151216
SARSA,1,Extreme,20.0,-93.97593416111143
PPO,1,None,0.0,150.25355951049522
PPO,1,Low,5.0,80.27856280040419
PPO,1,Medium,10.0,101.59376039611224
PPO,1,High,15.0,8.435497498395236
PPO,1,Extreme,20.0,-30.414035578378567
DQN,2,None,0.0,-225.8616572269052
DQN,2,Low,5.0,-234.9511630533009
DQN,2,Medium,10.0,-230.22554403274822
DQN,2,High,15.0,-268.23746141270067
DQN,2,Extreme,20.0,-182.35159185596325
SARSA,2,None,0.0,-191.3156011893648
SARSA,2,Low,5.0,-103.95114156252448
SARSA,2,Medium,10.0,-119.29240872598612
SARSA,2,High,15.0,-102.88300124233305
SARSA,2,Extreme,20.0,-208.1019157387479
PPO,2,None,0.0,204.41029794370934
PPO,2,Low,5.0,175.91773950006285
PPO,2,Medium,10.0,158.61733801365378
PPO,2,High,15.0,107.29087510724864
PPO,2,Extreme,20.0,46.23071815111301
DQN,3,None,0.0,-90.4075056894087
DQN,3,Low,5.0,-2.0774096910922912
DQN,3,Medium,10.0,-101.59041485328717
DQN,3,High,15.0,-100.29009445813776
DQN,3,Extreme,20.0,-135.24468750871262
SARSA,3,None,0.0,-80.68206518161914
SARSA,3,Low,5.0,-46.76451143080037
SARSA,3,Medium,10.0,-41.61543614224213
SARSA,3,High,15.0,-49.039548319168816
SARSA,3,Extreme,20.0,-146.44674892185728
PPO,3,None,0.0,124.05644628064347
PPO,3,Low,5.0,135.18863324992
PPO,3,Medium,10.0,3.4413292061033474
PPO,3,High,15.0,-13.321877712368922
PPO,3,Extreme,20.0,-60.000444762052766
DQN,4,None,0.0,-114.44452691449824
DQN,4,Low,5.0,-109.4884072199948
DQN,4,Medium,10.0,-138.69659805225658
DQN,4,High,15.0,-140.78618525627562
DQN,4,Extreme,20.0,-163.6440468510818
SARSA,4,None,0.0,-56.19150292224877
SARSA,4,Low,5.0,-71.4827204076281
SARSA,4,Medium,10.0,-80.61739044344648
SARSA,4,High,15.0,-204.0567352556633
SARSA,4,Extreme,20.0,-207.2068560341134
PPO,4,None,0.0,166.0655086083928
PPO,4,Low,5.0,107.87078033305474
PPO,4,Medium,10.0,34.44451078267382
PPO,4,High,15.0,-34.76421580028081
PPO,4,Extreme,20.0,-67.33130490801119
